x,y,landcover,landcover_class,elevation,slope,aspect,Dim.1,Dim.2,Dim.3
5054213.27696657,1836790.99055419,7,Open shrublands,455.7369079589844,43.99467086791992,293.2630310058594,-3.4117732836803834,-1.0560924739376536,0.44433203553101985
5060063.27696657,1830290.99055419,7,Open shrublands,379.69537353515625,43.26310729980469,285.7005615234375,-3.2163757287191044,-0.9512796543780662,0.559566803919237
5059513.27696657,1831040.99055419,7,Open shrublands,526.83880615234375,42.60855484008789,247.7969512939453,-3.416566245275964,-0.5851831818625077,0.24599580697577372
5051763.27696657,1835040.99055419,7,Open shrublands,173.16624450683594,47.089813232421875,260.51934814453125,-3.1125933058059942,-0.6281568693232658,0.7362067410969716
5053463.27696657,1836040.99055419,7,Open shrublands,361.9644775390625,49.88220977783203,113.26681518554688,-3.590451733350236,0.8946883887305184,0.002923385845814641
5061413.27696657,1829440.99055419,7,Open shrublands,367.5287170410156,42.77817153930664,191.42660522460938,-3.113490870438561,0.06675904918090264,0.34693212004811036
5051913.27696657,1836890.99055419,7,Open shrublands,397.3642272949219,47.75206756591797,86.386566162109375,-3.484513778275422,1.1776047163174366,-0.07590040272228848
5059263.27696657,1832790.99055419,7,Open shrublands,456.3794860839844,45.03730392456055,7.040788650512695,-3.353144085122217,2.0188839484774763,-0.3138750069472851
5058613.27696657,1832590.99055419,7,Open shrublands,420.6335144042969,41.1120719909668,11.017217636108398,-3.000531461863241,1.9942373635463668,-0.16372145517672299
5046663.27696657,1835890.99055419,7,Open shrublands,362.2937927246094,46.69856262207031,62.07134246826172,-3.3315852366160077,1.451273410191248,-0.060903424695779806
5061063.27696657,1830840.99055419,7,Open shrublands,515.6119384765625,38.661216735839844,322.1543273925781,-3.140377023355964,-1.373577180648191,0.5389592634999094
5060513.27696657,1833440.99055419,7,Open shrublands,540.0234375,41.44458770751953,304.5964050292969,-3.381676018370472,-1.1973757515844952,0.3961092503896313
5059313.27696657,1832790.99055419,7,Open shrublands,442.4877624511719,46.156532287597656,18.06056785583496,-3.4158544561931072,1.9022354968148816,-0.28779576170644305
5059263.27696657,1831040.99055419,7,Open shrublands,480.2943420410156,40.118316650390625,206.0350341796875,-3.128458310710946,-0.1177830264560556,0.2649013784298826
5054163.27696657,1836640.99055419,7,Open shrublands,503.2480773925781,42.93754196166992,305.633056640625,-3.4257391757381646,-1.2007896105367346,0.4243679983711075
5054113.27696657,1836590.99055419,7,Open shrublands,491.4962158203125,38.94060516357422,286.6472473144531,-3.100338523934927,-0.9853875464881454,0.4795519806566705
5053513.27696657,1834740.99055419,7,Open shrublands,339.165771484375,46.2890510559082,96.3004150390625,-3.275804641998055,1.0907899028655947,0.07193767844257004
5059663.27696657,1842490.99055419,7,Open shrublands,791.06634521484375,32.6129264831543,243.7458038330078,-3.155566786062999,-0.5986176446106752,0.03603464709985216
5045513.27696657,1834840.99055419,7,Open shrublands,299.34747314453125,43.71625900268555,265.93402099609375,-3.0947944237405185,-0.7163429167630804,0.6248512548120957
5058763.27696657,1834740.99055419,7,Open shrublands,415.998046875,42.872615814208984,236.9036865234375,-3.2300151663971794,-0.4364230623285787,0.385826960937659
5046863.27696657,1836640.99055419,16,Barren or sparsely vegetated,364.6922607421875,38.665096282958984,317.1638488769531,-1.8168926576866293,-1.7260779808889906,-0.923794353071157
5047613.27696657,1834190.99055419,16,Barren or sparsely vegetated,243.133544921875,42.266178131103516,357.321533203125,-1.8816366507139937,-2.1296364749176924,-0.707533023007956
5061763.27696657,1840590.99055419,7,Open shrublands,702.7935791015625,31.188066482543945,358.4875793457031,-2.945267379168721,-1.8038003968661716,0.49926856801353425
