x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,macroclimate,landcover,landcover_class
342189.77772431204,5410713.70341275,-0.4118080392870952,0.11457478914080173,-0.004875937374320599,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",57.80828857421875,1.524229884147644,292.7472839355469,9.450432777404785,10.190921783447266,7,Open shrublands
496589.77772431204,5390113.70341275,5.289072276989289,-1.9221277433929245,2.791007210194649,"(3.04,6.09]","(-3.5,-1.53]","(1.88,3.97]","(3.04,6.09] (-3.5,-1.53] (1.88,3.97]",402.0600280761719,1.7704378366470337,36.118446350097656,6.760399341583252,8.608756065368652,1,Evergreen needleleaf forest
204289.777724312,5380013.70341275,-0.35955703744154455,0.426688168164465,-0.3049150315208234,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",80.27387237548828,2.812318801879883,35.5013542175293,9.660082817077637,10.164935111999512,14,Urban and built-up
290289.77772431204,5384813.70341275,-0.7946093970810442,-0.12029780400708079,-0.11952523888233177,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",49.90105056762695,1.161081314086914,258.83538818359375,10.006672859191895,10.085289001464844,7,Open shrublands
318889.77772431204,5363313.70341275,0.24192888770270438,-0.31319102316512115,-0.09997833287848702,"(-0.00719,3.04]","(-1.53,0.431]","(-0.198,1.88]","(-0.00719,3.04] (-1.53,0.431] (-0.198,1.88]",135.33999633789062,1.2699785232543945,257.308349609375,9.655835151672363,9.646071434020996,7,Open shrublands
492689.77772431204,5371013.70341275,4.702905612905265,1.3666639913294358,-0.4978703117020356,"(3.04,6.09]","(0.431,2.39]","(-2.28,-0.198]","(3.04,6.09] (0.431,2.39] (-2.28,-0.198]",337.9916076660156,3.075218677520752,267.5144348144531,7.819816589355469,8.435528755187988,5,Mixed forest
410389.77772431204,5385013.70341275,0.37287934455832633,-1.4919634452516475,-0.6413679650849415,"(-0.00719,3.04]","(-1.53,0.431]","(-2.28,-0.198]","(-0.00719,3.04] (-1.53,0.431] (-2.28,-0.198]",182.49632263183594,0.578303873538971,2.793691396713257,9.427033424377441,9.615468978881836,7,Open shrublands
277789.77772431204,5372313.70341275,-1.134297989949078,0.29083777302980285,0.2029859108269736,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",16.445816040039062,0.5566439628601074,354.328857421875,9.927297592163086,10.270811080932617,7,Open shrublands
207489.777724312,5425513.70341275,-1.295098428353205,0.24508622595600124,0.2001742416055475,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",8.446014404296875,0.3689025044441223,359.7390441894531,10.247756958007812,10.145543098449707,7,Open shrublands
333489.77772431204,5387913.70341275,-0.4745626747180159,-0.5423501259909701,-0.2609487513904926,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",90.76249694824219,0.846845805644989,178.29507446289062,9.75135326385498,10.008646965026855,7,Open shrublands
276589.77772431204,5368413.70341275,0.2877699212378408,2.5589895640838836,-2.7383526047576963,"(-0.00719,3.04]","(2.39,4.35]","(-4.36,-2.28]","(-0.00719,3.04] (2.39,4.35] (-4.36,-2.28]",24.12834358215332,2.2338013648986816,182.56581115722656,9.190042495727539,10.298102378845215,4,Deciduous broadleaf forest
270589.77772431204,5380313.70341275,-1.3569844652381506,-1.1795999114310718,-0.7315785922264193,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",28.352283477783203,0.70270538330078125,6.302363872528076,10.265158653259277,10.17834758758545,7,Open shrublands
443189.77772431204,5450113.70341275,0.7030246785283462,-0.7244139782823924,-0.24832260824838082,"(-0.00719,3.04]","(-1.53,0.431]","(-2.28,-0.198]","(-0.00719,3.04] (-1.53,0.431] (-2.28,-0.198]",44.41893768310547,0.8512448072433472,330.80084228515625,9.039045333862305,9.914580345153809,11,Tall grasslands
201789.777724312,5409613.70341275,2.061632617176499,2.929300687493107,-3.2729333246023504,"(-0.00719,3.04]","(2.39,4.35]","(-4.36,-2.28]","(-0.00719,3.04] (2.39,4.35] (-4.36,-2.28]",144.64544677734375,6.873871326446533,187.0326690673828,9.160425186157227,9.954422950744629,4,Deciduous broadleaf forest
233889.777724312,5387213.70341275,-1.257577570079352,-1.2393320294140233,-0.6921640301828538,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",31.52696418762207,0.44031986594200134,1.1849629878997803,10.102269172668457,10.142070770263672,7,Open shrublands
247889.777724312,5394413.70341275,-1.7594771996157574,1.1467400038180116,0.44847103375000175,"(-3.07,-0.00719]","(0.431,2.39]","(-0.198,1.88]","(-3.07,-0.00719] (0.431,2.39] (-0.198,1.88]",24.618446350097656,0.23649434745311737,253.8117218017578,10.298105239868164,10.549175262451172,14,Urban and built-up
362789.77772431204,5400213.70341275,-0.22109805430799911,-1.1600578976220368,-0.6085095087786057,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",94.80460357666016,0.9625716209411621,18.857223510742188,9.27104377746582,10.02647590637207,7,Open shrublands
234189.777724312,5367313.70341275,-1.306349577346313,-0.3276270274764288,-0.15070624985615758,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",54.35531997680664,0.3098185658454895,232.6042938232422,10.417362213134766,10.186182022094727,7,Open shrublands
513589.77772431204,5428813.70341275,-0.18362387529160248,0.8409118033552386,0.1852309098727781,"(-3.07,-0.00719]","(0.431,2.39]","(-0.198,1.88]","(-3.07,-0.00719] (0.431,2.39] (-0.198,1.88]",101.06687927246094,1.8137452602386475,184.2253875732422,9.616411209106445,9.978418350219727,14,Urban and built-up
385089.77772431204,5488513.70341275,-0.8624450705714566,-1.130859393557772,-0.592610735108136,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",1.975679874420166,0.6581174731254578,6.120804786682129,9.36410140991211,10.129164695739746,7,Open shrublands
352589.77772431204,5447413.70341275,-1.5821181528007595,1.576601155019541,0.5210421125732055,"(-3.07,-0.00719]","(0.431,2.39]","(-0.198,1.88]","(-3.07,-0.00719] (0.431,2.39] (-0.198,1.88]",9.689783096313477,1.2313823699951172,322.87359619140625,10.242972373962402,10.565430641174316,14,Urban and built-up
478989.77772431204,5460113.70341275,-0.15398163056596378,1.3221896365575023,1.854492765428017,"(-3.07,-0.00719]","(0.431,2.39]","(-0.198,1.88]","(-3.07,-0.00719] (0.431,2.39] (-0.198,1.88]",27.286771774291992,0.45607152581214905,359.1060485839844,9.122514724731445,9.915972709655762,13,Croplands
254789.777724312,5410613.70341275,-1.6901122151406405,0.3416187669402507,-0.05677242004022344,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",16.2080078125,0.5076689124107361,63.190887451171875,10.349678039550781,10.348736763000488,14,Urban and built-up
344689.77772431204,5389713.70341275,-0.12310771477523216,-0.5050254467677021,-0.43072734590214823,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",59.15055465698242,2.046750068664551,127.51058197021484,9.125550270080566,10.129803657531738,7,Open shrublands
307989.77772431204,5391913.70341275,-1.2069328823791654,0.108465939577859,-0.03055131709353003,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",33.46738815307617,0.1447320282459259,30.121009826660156,9.863044738769531,10.154085159301758,14,Urban and built-up
372789.77772431204,5448113.70341275,-0.9719627472522788,-0.6048775542405334,-0.3194057567106848,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",8.617522239685059,0.6801380515098572,123.6384048461914,9.441484451293945,10.29596996307373,7,Open shrublands
425089.77772431204,5467313.70341275,-0.5179880110419655,-1.198291892392347,-0.5627728424483962,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",26.18890953063965,0.5834822058677673,4.661631107330322,9.15662670135498,10.002426147460938,7,Open shrublands
351189.77772431204,5424713.70341275,-0.6716207630806589,0.31338952338246084,0.18413982327393777,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",39.13470458984375,1.0175858736038208,347.9955139160156,9.524112701416016,10.254057884216309,7,Open shrublands
