x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,landcover,landcover_class
421289.0066834437,5458116.2851357395,0.676368155880753,0.7262136779796109,3.32833023066378,"(0.431,1.22]","(0.545,0.856]","(2.86,3.37]","(0.431,1.22] (0.545,0.856] (2.86,3.37]",38.01549530029297,0.4995735287666321,237.29922485351562,1,Evergreen needleleaf forest
389784.0146764644,5391109.399150746,-0.15991795331446407,-1.280692296428293,-0.13319649138499787,"(-0.359,0.431]","(-1.32,-1.01]","(-0.209,0.302]","(-0.359,0.431] (-1.32,-1.01] (-0.209,0.302]",147.7525177001953,0.45396316051483154,52.72604751586914,7,Open shrublands
264704.4941711433,5463758.970271318,-1.168270219770343,-0.6244218404539125,-0.09105950128446558,"(-1.95,-1.15]","(-0.696,-0.386]","(-0.209,0.302]","(-1.95,-1.15] (-0.696,-0.386] (-0.209,0.302]",0,0.026159118860960007,146.853759765625,7,Open shrublands
322071.7930495236,5359839.519024416,-0.30247805206345696,-1.4644544488274225,-0.14553710683833002,"(-0.359,0.431]","(-1.63,-1.32]","(-0.209,0.302]","(-0.359,0.431] (-1.63,-1.32] (-0.209,0.302]",148,0.2848549485206604,19.686424255371094,7,Open shrublands
351225.666250012,5467755.872242353,-0.8858448045898866,0.18315978550680137,0.03233994283122855,"(-1.15,-0.359]","(-0.0752,0.235]","(-0.209,0.302]","(-1.15,-0.359] (-0.0752,0.235] (-0.209,0.302]",0.022855089977383614,0.21349938213825226,292.8784484863281,7,Open shrublands
473483.84418754384,5370889.7774149235,6.485811174870279,0.11984332187700894,3.000204029762116,"(5.96,6.74]","(-0.0752,0.235]","(2.86,3.37]","(5.96,6.74] (-0.0752,0.235] (2.86,3.37]",500.5738830566406,5.577441215515137,200.5757293701172,1,Evergreen needleleaf forest
297149.93370071903,5482097.696961948,-1.027172170578191,0.13361493252007628,0.04884249633297301,"(-1.15,-0.359]","(-0.0752,0.235]","(-0.209,0.302]","(-1.15,-0.359] (-0.0752,0.235] (-0.209,0.302]",0,0.005637145135551691,284.14080810546875,7,Open shrublands
393780.9166474991,5400043.650615412,0.06727426893494336,-0.9074880666939671,-0.164729031248704,"(-0.359,0.431]","(-1.01,-0.696]","(-0.209,0.302]","(-0.359,0.431] (-1.01,-0.696] (-0.209,0.302]",113.27547454833984,1.0163893699645996,113.78211975097656,7,Open shrublands
257180.9139903721,5421909.055515778,-1.0510024829378946,0.9418434549140823,0.08349856176029018,"(-1.15,-0.359]","(0.856,1.17]","(-0.209,0.302]","(-1.15,-0.359] (0.856,1.17] (-0.209,0.302]",17,0.03287408873438835,167.07736206054688,14,Urban and built-up
502167.493626734,5417912.153544744,0.5652449590770287,0.3468590516292935,0.1033065877140284,"(0.431,1.22]","(0.235,0.545]","(-0.209,0.302]","(0.431,1.22] (0.235,0.545] (-0.209,0.302]",156.7705841064453,0.9948570728302002,348.3586730957031,7,Open shrublands
361570.5889985724,5381704.923924782,-0.07176792895308078,-1.4139129974724505,-0.18173531313679528,"(-0.359,0.431]","(-1.63,-1.32]","(-0.209,0.302]","(-0.359,0.431] (-1.63,-1.32] (-0.209,0.302]",146.7710723876953,0.645797610282898,28.215974807739258,7,Open shrublands
213214.99230899045,5357723.512098574,-0.5621178462791974,-0.9486578798497377,-0.1089016759486051,"(-1.15,-0.359]","(-1.01,-0.696]","(-0.209,0.302]","(-1.15,-0.359] (-1.01,-0.696] (-0.209,0.302]",84.85123443603516,0.29780086874961853,102.30158233642578,7,Open shrublands
226851.48138663822,5361250.190308311,-0.37419910999021766,0.17549264828784694,0.1325526322588727,"(-1.15,-0.359]","(-0.0752,0.235]","(-0.209,0.302]","(-1.15,-0.359] (-0.0752,0.235] (-0.209,0.302]",99.60182189941406,0.0955829843878746,308.6070251464844,7,Open shrublands
201224.28639588636,5427081.516890058,-0.7302964276722931,0.4425117416933423,0.07420182880231493,"(-1.15,-0.359]","(0.235,0.545]","(-0.209,0.302]","(-1.15,-0.359] (0.235,0.545] (-0.209,0.302]",7.369448661804199,0.30781134963035583,340.986328125,7,Open shrublands
371915.51174713275,5434840.208951479,-1.0047603840228265,-0.3112806228788075,-0.041624798210478445,"(-1.15,-0.359]","(-0.386,-0.0752]","(-0.209,0.302]","(-1.15,-0.359] (-0.386,-0.0752] (-0.209,0.302]",5.985376834869385,0.1284969300031662,204.46035766601562,7,Open shrublands
442919.2997031609,5458821.620777687,-0.7862758994340124,1.9742927727136341,0.41894680435634424,"(-1.15,-0.359]","(1.79,2.1]","(0.302,0.813]","(-1.15,-0.359] (1.79,2.1] (0.302,0.813]",28,0.11632322520017624,338.9541015625,13,Croplands
273638.7456358091,5439777.55844511,-0.7218789660874165,1.6195735230221069,0.31096307680379465,"(-1.15,-0.359]","(1.48,1.79]","(0.302,0.813]","(-1.15,-0.359] (1.48,1.79] (0.302,0.813]",15.608261108398438,0.17799541354179382,318.5547180175781,15,Cropland/Natural vegetation mosaic
479126.52932312223,5422379.279277077,-0.2672960733944147,0.3122563727429251,-0.0758692730912465,"(-0.359,0.431]","(0.235,0.545]","(-0.209,0.302]","(-0.359,0.431] (0.235,0.545] (-0.209,0.302]",82.28052520751953,0.8674107193946838,63.25157928466797,14,Urban and built-up
428812.58686421486,5424730.398083568,-0.5935237249690585,1.873365989555806,0.2224480087675041,"(-1.15,-0.359]","(1.79,2.1]","(-0.209,0.302]","(-1.15,-0.359] (1.79,2.1] (-0.209,0.302]",28.01556396484375,0.3549618721008301,337.26556396484375,14,Urban and built-up
382025.3226150441,5404981.000109043,0.3447389912909139,-0.46357693049169635,-0.22125011305131193,"(-0.359,0.431]","(-0.696,-0.386]","(-0.72,-0.209]","(-0.359,0.431] (-0.696,-0.386] (-0.72,-0.209]",63.560791015625,1.7782645225524902,184.81492614746094,7,Open shrublands
417997.4403543563,5360309.742785715,0.7162513529996754,-0.8190336389545984,-0.020469033987036353,"(0.431,1.22]","(-1.01,-0.696]","(-0.209,0.302]","(0.431,1.22] (-1.01,-0.696] (-0.209,0.302]",237.3454132080078,0.8561213612556458,151.14126586914062,7,Open shrublands
187352.68543758948,5409448.125841376,-0.3048997586032766,-0.4987621973903024,-0.18693793229141784,"(-0.359,0.431]","(-0.696,-0.386]","(-0.209,0.302]","(-0.359,0.431] (-0.696,-0.386] (-0.209,0.302]",21.899457931518555,1.1494724750518799,172.05792236328125,7,Open shrublands
