x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,macroclimate,landcover,landcover_class
4377019.08128998,-2288581.74676982,-0.7286485272511554,1.370310769437702,0.6876437105082764,"(-1.78,-0.372]","(0.18,2.01]","(0.266,1.66]","(-1.78,-0.372] (0.18,2.01] (0.266,1.66]",1109.6729736328125,5.665517330169678,336.9450378417969,17.92442512512207,18.51676368713379,5,Mixed forest
4385319.08128998,-2279381.74676982,-1.8310927922009896,-0.055787659859334544,-0.14232044056567925,"(-3.19,-1.78]","(-1.65,0.18]","(-1.13,0.266]","(-3.19,-1.78] (-1.65,0.18] (-1.13,0.266]",1160.3099365234375,2.653430223464966,177.95974731445312,15.287603378295898,17.768583297729492,2,Evergreen Broadleaf forest
4384819.08128998,-2299881.74676982,-1.1844893547368947,-0.20884796947829856,-0.2353447520547938,"(-1.78,-0.372]","(-1.65,0.18]","(-1.13,0.266]","(-1.78,-0.372] (-1.65,0.18] (-1.13,0.266]",1116.820556640625,4.066967964172363,154.24612426757812,16.534461975097656,18.28028106689453,2,Evergreen Broadleaf forest
4387419.08128998,-2279181.74676982,-2.2479585926311088,-0.5043332540704843,-0.7076833073595017,"(-3.19,-1.78]","(-1.65,0.18]","(-1.13,0.266]","(-3.19,-1.78] (-1.65,0.18] (-1.13,0.266]",1238.77734375,3.964158058166504,86.38666534423828,14.56707763671875,17.540241241455078,2,Evergreen Broadleaf forest
4381819.08128998,-2299181.74676982,-0.10305647098767369,0.5663542039856955,0.48942504571636425,"(-0.372,1.04]","(0.18,2.01]","(0.266,1.66]","(-0.372,1.04] (0.18,2.01] (0.266,1.66]",1108.8565673828125,6.0461602210998535,318.1614990234375,17.158233642578125,18.36315155029297,15,Cropland/Natural vegetation mosaic
4390619.08128998,-2280881.74676982,-2.0294635113846033,-0.9281363853933249,-0.5163805541484144,"(-3.19,-1.78]","(-1.65,0.18]","(-1.13,0.266]","(-3.19,-1.78] (-1.65,0.18] (-1.13,0.266]",1188.4637451171875,8.491769790649414,101.056396484375,14.892827987670898,17.735313415527344,2,Evergreen Broadleaf forest
4406919.08128998,-2302681.74676982,3.3137879685657845,-0.5135930594160437,-0.10571636259845556,"(2.44,3.86]","(-1.65,0.18]","(-1.13,0.266]","(2.44,3.86] (-1.65,0.18] (-1.13,0.266]",436.3389892578125,10.932219505310059,170.42970275878906,20.559188842773438,21.432209014892578,15,Cropland/Natural vegetation mosaic
4387719.08128998,-2303981.74676982,-2.0097322844427508,-0.28646400102087566,-0.030812505112125167,"(-3.19,-1.78]","(-1.65,0.18]","(-1.13,0.266]","(-3.19,-1.78] (-1.65,0.18] (-1.13,0.266]",1168.0567626953125,4.794339656829834,189.716552734375,14.755006790161133,17.80915069580078,2,Evergreen Broadleaf forest
4365519.08128998,-2278381.74676982,-2.2507160550694976,0.8645719720471102,0.8187533473809351,"(-3.19,-1.78]","(0.18,2.01]","(0.266,1.66]","(-3.19,-1.78] (0.18,2.01] (0.266,1.66]",1444.8447265625,2.164097785949707,80.89064025878906,15.366220474243164,16.979421615600586,4,Deciduous broadleaf forest
4388719.08128998,-2292781.74676982,-1.506648561333942,-1.1780052633247453,-1.0042532136860538,"(-1.78,-0.372]","(-1.65,0.18]","(-1.13,0.266]","(-1.78,-0.372] (-1.65,0.18] (-1.13,0.266]",1102.5364990234375,8.380539894104004,17.784116744995117,15.50865650177002,18.129554748535156,2,Evergreen Broadleaf forest
4371219.08128998,-2289281.74676982,-0.9607208499675767,0.40172366277292954,-0.2826270516738321,"(-1.78,-0.372]","(0.18,2.01]","(-1.13,0.266]","(-1.78,-0.372] (0.18,2.01] (-1.13,0.266]",1165.9456787109375,9.934033393859863,170.03355407714844,17.62100601196289,18.33091926574707,5,Mixed forest
4384719.08128998,-2277581.74676982,-2.0175606674067312,-0.17048112958177272,0.4696369477917883,"(-3.19,-1.78]","(-1.65,0.18]","(0.266,1.66]","(-3.19,-1.78] (-1.65,0.18] (0.266,1.66]",1186.024658203125,6.442316055297852,266.5481872558594,15.119216918945312,17.70528221130371,2,Evergreen Broadleaf forest
4399119.08128998,-2297681.74676982,3.480426501033237,-0.1349230655505469,-0.4591509207140383,"(2.44,3.86]","(-1.65,0.18]","(-1.13,0.266]","(2.44,3.86] (-1.65,0.18] (-1.13,0.266]",399.8132019042969,5.727385997772217,127.21015167236328,20.510921478271484,21.57621955871582,15,Cropland/Natural vegetation mosaic
4382819.08128998,-2300281.74676982,-0.9284589195268608,0.25624579148198773,-1.3481587992371127,"(-1.78,-0.372]","(0.18,2.01]","(-2.52,-1.13]","(-1.78,-0.372] (0.18,2.01] (-2.52,-1.13]",1099.11328125,5.5901947021484375,9.084342956542969,16.950096130371094,18.370588302612305,5,Mixed forest
4396419.08128998,-2294181.74676982,2.4737258437104677,0.501463266686313,0.7405977695472097,"(2.44,3.86]","(0.18,2.01]","(0.266,1.66]","(2.44,3.86] (0.18,2.01] (0.266,1.66]",600.557861328125,6.139150142669678,330.0464172363281,19.625205993652344,20.793649673461914,15,Cropland/Natural vegetation mosaic
4375119.08128998,-2276681.74676982,-1.7388006019852646,-0.9266038552892453,0.6747382144213486,"(-1.78,-0.372]","(-1.65,0.18]","(0.266,1.66]","(-1.78,-0.372] (-1.65,0.18] (0.266,1.66]",1209.9141845703125,14.929409980773926,273.6563415527344,16.260156631469727,17.843061447143555,2,Evergreen Broadleaf forest
4368019.08128998,-2275481.74676982,-2.560472013761592,-0.37516966456110373,-0.10612752480299939,"(-3.19,-1.78]","(-1.65,0.18]","(-1.13,0.266]","(-3.19,-1.78] (-1.65,0.18] (-1.13,0.266]",1428.2623291015625,7.57342529296875,181.17218017578125,15.712093353271484,16.89444351196289,2,Evergreen Broadleaf forest
4369019.08128998,-2284581.74676982,-0.16616371804445135,1.8759182137803612,-2.2587125662782723,"(-0.372,1.04]","(0.18,2.01]","(-2.52,-1.13]","(-0.372,1.04] (0.18,2.01] (-2.52,-1.13]",1076.9676513671875,4.433238983154297,26.50282096862793,18.38668441772461,18.817401885986328,13,Croplands
