x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,landcover,landcover_class
9790138.36062736,-323818.177723256,-0.8521094042738612,0.9960532152173132,-0.25131618193602157,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",45.857337951660156,1.1950932741165161,335.16912841796875,24.787031173706055,15,Cropland/Natural vegetation mosaic
9758038.36062736,-336218.177723256,-1.0151647325864621,0.34685773211992005,-0.2707111422772409,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",39.86342239379883,0.2624528408050537,234.55584716796875,25.1417293548584,15,Cropland/Natural vegetation mosaic
9781638.36062736,-361118.177723256,-0.7762013428075096,0.21378413928237017,-0.27327204688363776,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",95.27061462402344,1.345131754875183,213.0250701904297,25.0734920501709,15,Cropland/Natural vegetation mosaic
9754238.36062736,-338318.177723256,-0.8989554852962152,-0.30617238553634485,-0.2950609488032436,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",44.10160827636719,1.0888887643814087,131.62025451660156,25.119871139526367,15,Cropland/Natural vegetation mosaic
9789638.36062736,-323918.177723256,-0.8798705070019538,0.8226971020409547,-0.256415186321542,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",44.35453414916992,0.8029040098190308,308.4832763671875,24.787031173706055,15,Cropland/Natural vegetation mosaic
9704538.36062736,-356918.177723256,0.07587175368669115,-0.39175547425876694,-0.28648682947509124,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",247.8644561767578,1.9065220355987549,119.33601379394531,23.561737060546875,15,Cropland/Natural vegetation mosaic
9785338.36062736,-368318.177723256,0.21444853043642115,0.6106477004986123,0.11754410630383691,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",69.49097442626953,2.262239456176758,258.4451904296875,25.288713455200195,2,Evergreen Broadleaf forest
9725338.36062736,-322318.177723256,-1.2194354458453955,-0.03574550569846751,4.62734167951475,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",36.05916976928711,0.17354156076908112,345.078857421875,25.354175567626953,13,Croplands
9722338.36062736,-327118.177723256,-0.979505382687814,-0.8369221891580907,4.596717438089601,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",55.29313659667969,1.9640555381774902,218.0599365234375,25.3222713470459,13,Croplands
9716338.36062736,-334618.177723256,-0.884828278547723,-0.26142096137543824,4.615040760645826,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",64.48028564453125,2.707648515701294,307.32379150390625,25.18487548828125,13,Croplands
9720538.36062736,-342718.177723256,-1.0478260626973377,-0.2861719325463618,4.620583718955833,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",69.67337799072266,0.3252008557319641,306.09332275390625,25.10393524169922,13,Croplands
9722338.36062736,-326918.177723256,-0.899724583204145,-0.2850486138679509,4.612801536917846,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",55.96873092651367,3.075047016143799,303.1419372558594,25.281110763549805,13,Croplands
